,ID,NOMBRE PROYECTO,DIRECCIÓN,COMUNA,LATITUD,LONGITUD,INMOBILIARIA,TIPO PROYECTO,FECHA DE ENTREGA,SUP. PROMEDIO,TOTAL UNIDADES PROYECTO,VIGENCIA,FECHA DE PROCESO,CLIMA
0,1,LAS PALMAS DE INDEPENDENCIA,"INDEPENDENCIA 4599, SANTIAGO, REGION METROPOLITANA, CHILE",CONCHALI,-33.3863675,-70.6785764999999,INMOBILIARIA INDEPENDENCIA,DEPARTAMENTO,42064,57.5,180,0,2022-12-16,por definir
1,2,PARQUE CAROLINA RABAT,"CAROLINA RABAT 900, SANTIAGO, REGION METROPOLITANA, CHILE",VITACURA,-33.3692815,-70.5778417,INMOBILIARIA CARMELL LTDA.,DEPARTAMENTO,42064,258.5,204,0,2022-12-16,por definir
2,3,VALLE LA DEHESA,"LA DEHESA 4995, SANTIAGO, REGION METROPOLITANA, CHILE",LO BARNECHEA,-33.3211558,-70.5175632999999,ENACO S.A.,CASA,42064,139.5,244,0,2022-12-16,por definir
3,4,CIUDAD DEL SOL,"VICUÑA MACKENNA PARADERO 35, SANTIAGO, REGION METROPOLITANA, CHILE",PUENTE ALTO,-33.5906953,-70.5797875,CONSORCIO INMOBILIARIO MBI LTDA.,CASA,42401,101.0,2386,0,2022-12-16,por definir
4,5,CONJUNTO PORTAL OESTE,"AEROPUERTO ESQ. FERNANDEZ ALBANO, SANTIAGO, REGION METROPOLITANA, CHILE",CERRILLOS,-33.5258729,-70.6489648,INMOBILIARIA GALIZZO S.A.,CASA,42064,98.5,500,0,2022-12-16,por definir
5,6,VALLE NORTE (FERNANDEZ WOOD),"CAMINO EL ALBA TRES S/N, SANTIAGO, REGION METROPOLITANA, CHILE",COLINA,-33.4012593,-70.5246345,FERNANDEZ WOOD S.A.,CASA,42248,135.5,277,0,2022-12-16,por definir
6,7,HACIENDA DE CHICUREO,"PIE ANDINO KM. 12, SANTIAGO, REGION METROPOLITANA, CHILE",COLINA,-33.4568417,-70.7660784,INMOBILIARIA MANQUEHUE LTDA.,CASA,42064,333.0,96,0,2022-12-16,por definir
7,8,JARDINES DE LAS PIRCAS,"CAMINO EL PASO 4265, SANTIAGO, REGION METROPOLITANA, CHILE",PEÑALOLEN,-33.5000951,-70.5256023,INMOBILIARIA MACUL S.A,CASA,42064,140.0,259,0,2022-12-16,por definir
8,9,LOMAS DE EYZAGUIRRE,"EYZAGUIRRE 2225, SANTIAGO, REGION METROPOLITANA, CHILE",PUENTE ALTO,-33.6135828,-70.5377651,ACONCAGUA S.A.,CASA,42064,59.0,450,0,2022-12-16,por definir
9,10,CONDOMINIO PARQUE YUNGAY,"POETA PEDRO PRADO 1681, SANTIAGO, REGION METROPOLITANA, CHILE",QUINTA NORMAL,-33.4251388,-70.6859707,INMOBILIARIA CARRASCAL,DEPARTAMENTO,42064,65.0,343,0,2022-12-16,por definir
10,11,LOS PORTALES DE SANTA ANA,"4 PONIENTE 1421, SANTIAGO, REGION METROPOLITANA, CHILE",MAIPU,-33.5499918,-70.7651161,TERRACORP,CASA,42248,72.0,1196,0,2022-12-16,por definir
11,12,HACIENDA EL PEÑON,"CAMINO SAN JOSE DE MAIPO 07712, SANTIAGO, REGION METROPOLITANA, CHILE",PUENTE ALTO,-33.5980585,-70.5159094999999,ACONCAGUA S.A.,CASA,42339,102.0,586,0,2022-12-16,por definir
12,13,EL REMANSO DE LAS CONDES,"EL REMANSO 11111, SANTIAGO, REGION METROPOLITANA, CHILE",LAS CONDES,-33.4187228,-70.5200684,DICAL DESARROLLO INMOBILIARIO,CASA,00-01-1900,231.5,332,0,2022-12-16,por definir
13,14,JARDINES DE SANTA MARIA,"TRES PONIENTE 2930, SANTIAGO, REGION METROPOLITANA, CHILE",MAIPU,-33.5010982,-70.7799987,INMOBILIARIA BROTEC-ICAFAL LTDA.,CASA,42064,90.0,145,0,2022-12-16,por definir
14,15,CIUDAD DE LOS REYES,"MAPOCHO 3535, SANTIAGO, REGION METROPOLITANA, CHILE",QUINTA NORMAL,-33.4328145,-70.6835416999999,CONSTRUCTORA SANTA BEATRIZ,DEPARTAMENTO,42522,45.0,1313,0,2022-12-16,por definir
15,16,LOS BRAVOS VALLE LOS TRAPENSES,"JUAN PABLO II S/N, SANTIAGO, REGION METROPOLITANA, CHILE",LO BARNECHEA,-33.3618275,-70.7114856,INMOBILIARIA MANQUEHUE - SOCOVESA,CASA,00-01-1900,232.5,265,0,2022-12-16,por definir
16,17,EDIFICIO ARCADIA,"PAJARITOS 6586, SANTIAGO, REGION METROPOLITANA, CHILE",ESTACION CENTRAL,-33.464893000000004,-70.7239592,INMOBILIARIA LAGO RINIHUE LTDA.,DEPARTAMENTO,42522,52.5,513,0,2022-12-16,por definir
17,18,ALTOS DEL RACO,"CAMILO HENRIQUEZ 1040, SANTIAGO, REGION METROPOLITANA, CHILE",PUENTE ALTO,-33.5495726,-70.6847683,CONSTRUCTORA QUEYLEN,CASA,42705,88.5,667,0,2022-12-16,por definir
